INDEX,STATE,YEAR,REVENUE_PER_STUDENT,TOTAL_EXPENDITURE_PER_STUDENT,INSTRUCTION_EXPENDITURE_PER_STUDENT,SUPPORT_SERVICES_EXPENDITURE_PER_STUDENT,OTHER_EXPENDITURE_PER_STUDENT,CAPITAL_OUTLAY_EXPENDITURE_PER_STUDENT
257,ARIZONA,1997,5.543042453,5.656752838,2.523827391,1.598205352,0.338437015,0.866302428
258,ARKANSAS,1997,5.15111873,5.202801362,2.824379194,1.45936473,0.34620607,0.42025674
259,CALIFORNIA,1997,6.364542135,6.051335493,3.245347969,1.794262734,0.320413071,0.55195935
260,COLORADO,1997,6.144909416,6.53876551,3.253970213,1.791922502,0.229210834,1.008915696
261,CONNECTICUT,1997,9.429166388,9.142354452,5.334587014,2.694288336,0.324625176,0.382444795
262,DELAWARE,1997,8.153893601,8.069581387,4.413352079,2.409850787,0.353948025,0.670742437
263,DISTRICT_OF_COLUMBIA,1997,9.048227546,8.723158885,4.290013732,3.45918523,0.298723426,0.675236497
264,FLORIDA,1997,6.408656502,6.498354971,3.000865124,1.949844242,0.464101605,0.942065268
265,GEORGIA,1997,6.124471231,6.29917038,3.344442704,1.688895803,0.36059479,0.784486631
266,HAWAII,1997,6.468279217,6.615268607,3.651553666,1.740425146,0.56407305,0.659216746
267,IDAHO,1997,4.893684863,5.275002854,2.772915206,1.439515274,0.212022736,0.728650531
268,ILLINOIS,1997,7.132552645,7.128193981,3.523646469,2.171337688,0.270301174,0.818311509
269,INDIANA,1997,8.033389164,7.462804596,3.69884957,2.067669778,0.342020649,0.679568762
270,IOWA,1997,6.773323312,6.929916233,3.484935609,1.955147821,0.282341269,0.587659387
271,KANSAS,1997,6.496022454,6.324636339,3.166306436,2.057006484,0.387234973,0.403449636
272,KENTUCKY,1997,6.084442172,6.179842367,3.357520361,1.79453983,0.38337566,0.51357047
273,LOUISIANA,1997,5.076786787,4.979275419,2.726327216,1.455186586,0.37465968,0.308970843
274,MAINE,1997,7.208205739,7.16402099,4.251982499,1.90148236,0.277343475,0.335887564
275,MARYLAND,1997,7.37968294,7.594978151,4.104634472,2.313244961,0.353978766,0.724086623
276,MASSACHUSETTS,1997,8.169594806,8.055200809,4.813976881,2.180354952,0.258187501,0.473089942
277,MICHIGAN,1997,8.16958298,8.452313507,4.024060404,2.613333088,0.385369607,0.878100247
278,MINNESOTA,1997,7.525212837,8.224381062,4.131311564,1.959270607,0.69915987,0.953818537
279,MISSISSIPPI,1997,4.513481713,4.602025084,2.465779328,1.249232607,0.332301544,0.484347562
280,MISSOURI,1997,6.168529036,6.143601,3.230785218,1.766535149,0.345075854,0.613842734
281,MONTANA,1997,6.019499708,5.910466728,3.391866913,1.845522424,0.241299008,0.363094659
282,NEBRASKA,1997,6.855062001,6.692467418,3.719687985,1.770980085,0.265856031,0.734563381
283,NEVADA,1997,6.030142026,6.755514282,3.041530353,1.864701149,0.203352343,1.309778082
284,NEW_HAMPSHIRE,1997,6.919999587,7.396870672,3.918805936,1.87653211,0.222897418,0.87574151
285,NEW_JERSEY,1997,10.61121654,10.88336767,5.840643007,3.428692363,0.408008903,0.771362539
286,NEW_MEXICO,1997,5.312162572,5.487545403,2.658746158,1.727750421,0.271092898,0.750099895
287,NEW_YORK,1997,9.499770268,10.01511125,5.768847368,2.531863614,0.331197088,0.908686438
288,NORTH_CAROLINA,1997,5.649028084,5.797732265,3.065235647,1.546730978,0.360914044,0.701771746
289,NORTH_DAKOTA,1997,5.769768561,5.739042328,2.968277423,1.498923442,0.442131838,0.405224895
290,OHIO,1997,6.848597122,6.735527547,3.497008261,2.174937169,0.345225824,0.583168722
291,OKLAHOMA,1997,5.499870307,5.463059957,2.803217361,1.632189723,0.511015877,0.455331524
292,OREGON,1997,6.467512903,7.053651369,3.705483796,2.150966662,0.237658437,0.735464732
293,PENNSYLVANIA,1997,8.523956387,8.856756801,4.612222077,2.374268756,0.335819417,0.786003347
294,RHODE_ISLAND,1997,7.880810726,7.815027288,4.92496992,2.234529658,0.313940425,0.145267328
